,sq_mt_built,n_rooms,n_bathrooms,buy_price,neighborhood_price_m2,estimado_metros_por_preciom2
0,64.0,2,1.0,85000,1308.89,83768.96
1,70.0,3,1.0,129900,1796.68,125767.6
2,94.0,2,2.0,144247,1617.18,152014.92
3,64.0,2,1.0,109900,1617.18,103499.52
4,108.0,2,2.0,260000,1827.79,197401.32
5,126.0,4,2.0,195000,1617.18,203764.68
6,120.0,5,2.0,190000,1617.18,194061.6
7,125.0,3,2.0,198500,1617.18,202147.5
8,84.0,3,2.0,212000,2197.8,184615.2
9,85.0,2,1.0,131400,1827.79,155362.15
10,69.0,2,2.0,118000,1617.18,111585.42
11,122.0,3,2.0,246900,2197.8,268131.60000000003
12,123.0,3,2.0,195000,1827.79,224818.17
13,109.0,3,2.0,205000,1796.68,195838.12
14,64.0,3,1.0,72000,1308.89,83768.96
15,115.0,3,1.0,160000,1827.79,210195.85
16,115.0,3,1.0,184900,1827.79,210195.85
17,65.0,3,1.0,90000,1796.68,116784.2
18,75.0,3,1.0,129900,1617.18,121288.5
19,60.0,2,1.0,94900,1308.89,78533.40000000001
20,60.0,2,1.0,89900,1617.18,97030.8
21,95.0,4,2.0,144900,1796.68,170684.6
22,76.0,3,1.0,110000,1617.18,122905.68
23,51.0,2,1.0,93000,1617.18,82476.18000000001
24,134.0,3,2.0,130000,1617.18,216702.12
25,62.0,2,1.0,104000,1617.18,100265.16
26,75.0,3,1.0,138000,1617.18,121288.5
27,112.0,4,2.0,280000,2197.8,246153.60000000003
28,65.0,3,1.0,150000,1827.79,118806.35
29,70.0,2,1.0,145900,1617.18,113202.6
30,75.0,1,1.0,92500,1617.18,121288.5
31,123.0,3,2.0,298000,1827.79,224818.17
32,61.0,3,1.0,99900,1617.18,98647.98
33,72.0,2,1.0,138000,1617.18,116436.96
34,61.0,3,1.0,100000,2197.8,134065.80000000002
35,71.0,3,1.0,131400,1617.18,114819.78
36,87.0,3,1.0,96000,1827.79,159017.73
37,60.0,2,1.0,154000,1617.18,97030.8
38,78.0,4,1.0,146700,1796.68,140141.04
39,52.0,1,1.0,92500,1827.79,95045.08
40,125.0,3,3.0,275000,2197.8,274725.0
41,75.0,0,1.0,83800,1617.18,121288.5
42,97.0,2,2.0,266122,2197.8,213186.6
43,93.0,2,2.0,228273,2197.8,204395.4
44,103.0,4,2.0,171900,1796.68,185058.04
45,83.0,2,2.0,228273,2197.8,182417.4
46,45.0,2,1.0,85000,1827.79,82250.55
47,120.0,3,2.0,298000,1827.79,219334.8
48,74.0,3,1.0,139000,1796.68,132954.32
49,125.0,3,2.0,272500,2197.8,274725.0
50,126.0,4,2.0,275000,2197.8,276922.80000000005
51,158.0,3,2.0,289000,2197.8,347252.4
52,65.0,2,1.0,115000,1827.79,118806.35
53,108.0,3,2.0,179000,1796.68,194041.44
54,62.0,2,1.0,123000,1617.18,100265.16
55,51.0,2,1.0,89500,1827.79,93217.29
