,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,buy_price,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,Pisos,Casa o chalet,Áticos,Dúplex,distrito_id_num,neighborhood_id_num,neighborhood_price_m2,estimado_metros_por_preciom2
0,64.0,2,1.0,3.0,0,85000,0,0,1960.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,21.0,135.0,1308.89,83768.96
1,70.0,3,1.0,4.0,0,129900,1,0,1970.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,125767.6
2,94.0,2,2.0,1.0,0,144247,0,0,1970.0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,152014.92
3,64.0,2,1.0,0.5,1,109900,0,0,1955.0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,103499.52
4,108.0,2,2.0,4.0,0,260000,0,0,2003.0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0.0,1,1,1,1,1,0,0,0,21.0,133.0,1827.79,197401.32
5,126.0,4,2.0,3.0,0,195000,0,0,1981.0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0.0,0,0,0,1,1,0,0,0,21.0,134.0,1617.18,203764.68
6,120.0,5,2.0,1.0,0,190000,0,0,1970.0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,194061.6
7,125.0,3,2.0,2.0,0,198500,0,0,1970.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,202147.5
8,84.0,3,2.0,1.0,0,212000,0,0,1970.0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,184615.2
9,85.0,2,1.0,7.0,0,131400,1,0,1950.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,21.0,133.0,1827.79,155362.15
10,69.0,2,2.0,2.0,0,118000,1,0,1963.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,111585.42
11,122.0,3,2.0,6.0,0,246900,0,0,1970.0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,268131.60000000003
12,123.0,3,2.0,4.0,0,195000,0,0,1992.0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,21.0,133.0,1827.79,224818.17
13,109.0,3,2.0,3.0,0,205000,0,0,1983.0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,132.0,1796.68,195838.12
14,64.0,3,1.0,3.0,0,72000,0,0,1960.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,135.0,1308.89,83768.96
15,115.0,3,1.0,3.0,0,160000,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,210195.85
16,115.0,3,1.0,1.0,0,184900,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,210195.85
17,65.0,3,1.0,4.0,0,90000,0,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,116784.2
18,75.0,3,1.0,3.0,0,129900,1,0,1970.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,121288.5
19,60.0,2,1.0,0.5,1,94900,0,0,1970.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,135.0,1308.89,78533.40000000001
20,60.0,2,1.0,2.0,0,89900,0,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,97030.8
21,95.0,4,2.0,4.0,0,144900,0,0,1970.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,170684.6
